,Unnamed: 0,age,ethnicity,full_path,gender,name,filename,tag,face_loc,folder,face_location,,male,length_filename
839,839,39,white,32/5132_1975-08-07_2015.jpg,female,charlize theron,5132_1975-08-07_2015_0.jpg,smile,"{'x': 33, 'y': 194, 'w': 290, 'h': 290}",32,"[33, 194, 323, 484]",,0,26
1179,1179,37,white,04/42104_1972-08-30_2010.jpg,female,cameron diaz,42104_1972-08-30_2010_0.jpg,smile,"{'x': 104, 'y': 139, 'w': 311, 'h': 311}",4,"[104, 139, 415, 450]",,0,27
499,499,52,black,85/54985_1955-11-13_2008.jpg,female,whoopi goldberg,54985_1955-11-13_2008_0.jpg,smile,"{'x': 91, 'y': 121, 'w': 270, 'h': 270}",85,"[91, 121, 361, 391]",,0,27
779,779,45,black,92/100692_1954-12-28_2000.jpg,male,denzel washington,100692_1954-12-28_2000_0.jpg,no-smile,"{'x': 68, 'y': 136, 'w': 152, 'h': 152}",92,"[68, 136, 220, 288]",,1,28
219,219,42,black,59/170459_1968-01-14_2010.jpg,male,ll cool j,170459_1968-01-14_2010_0.jpg,smile,"{'x': 55, 'y': 55, 'w': 164, 'h': 164}",59,"[55, 55, 219, 219]",,1,28
379,379,45,black,91/325191_1967-12-13_2013.jpg,male,jamie foxx,325191_1967-12-13_2013_0.jpg,smile,"{'x': 75, 'y': 186, 'w': 333, 'h': 333}",91,"[75, 186, 408, 519]",,1,28
239,239,46,black,73/528673_1962-07-31_2009.jpg,male,wesley snipes,528673_1962-07-31_2009_0.jpg,smile,"{'x': 91, 'y': 61, 'w': 270, 'h': 270}",73,"[91, 61, 361, 331]",,1,28
1539,1539,37,white,93/656593_1978-03-01_2015.jpg,male,jensen ackles,656593_1978-03-01_2015_0.jpg,no-smile,"{'x': 65, 'y': 130, 'w': 290, 'h': 290}",93,"[65, 130, 355, 420]",,1,28
799,799,38,white,23/704723_1973-06-15_2011.jpg,male,neil patrick harris,704723_1973-06-15_2011_0.jpg,smile,"{'x': 91, 'y': 151, 'w': 270, 'h': 270}",23,"[91, 151, 361, 421]",,1,28
1479,1479,40,white,70/921570_1971-09-16_2012.jpg,female,amy poehler,921570_1971-09-16_2012_0.jpg,smile,"{'x': 151, 'y': 61, 'w': 134, 'h': 134}",70,"[151, 61, 285, 195]",,0,28
1519,1519,35,black,69/1773369_1977-07-10_2013.jpg,male,chiwetel ejiofor,1773369_1977-07-10_2013_0.jpg,smile,"{'x': 43, 'y': 171, 'w': 383, 'h': 383}",69,"[43, 171, 426, 554]",,1,29
179,179,40,black,73/2148973_1970-02-23_2010.jpg,female,niecy nash,2148973_1970-02-23_2010_0.jpg,smile,"{'x': 98, 'y': 123, 'w': 219, 'h': 219}",73,"[98, 123, 317, 342]",,0,29
899,899,23,white,61/2265561_1987-08-25_2011.jpg,female,blake lively,2265561_1987-08-25_2011_0.jpg,smile,"{'x': 85, 'y': 113, 'w': 252, 'h': 252}",61,"[85, 113, 337, 365]",,0,29
19,19,42,black,38/2726038_1966-11-26_2009.jpg,female,garcelle beauvais,2726038_1966-11-26_2009_0.jpg,smile,"{'x': 53, 'y': 132, 'w': 235, 'h': 235}",38,"[53, 132, 288, 367]",,0,29
539,539,44,black,41/3467041_1969-08-27_2014.jpg,female,chandra wilson,3467041_1969-08-27_2014_0.jpg,smile,"{'x': 79, 'y': 132, 'w': 235, 'h': 235}",41,"[79, 132, 314, 367]",,0,29
659,659,31,black,83/4451883_1978-09-23_2010.jpg,male,anthony mackie,4451883_1978-09-23_2010_0.jpg,no-smile,"{'x': 138, 'y': 69, 'w': 204, 'h': 204}",83,"[138, 69, 342, 273]",,1,29
1239,1239,49,black,37/6713737_1965-08-11_2015.jpg,female,viola davis,6713737_1965-08-11_2015_0.jpg,smile,"{'x': 79, 'y': 237, 'w': 235, 'h': 235}",37,"[79, 237, 314, 472]",,0,29
699,699,38,black,73/11869973_1974-10-18_2013.jpg,female,joy bryant,11869973_1974-10-18_2013_0.jpg,no-smile,"{'x': 74, 'y': 98, 'w': 219, 'h': 219}",73,"[74, 98, 293, 317]",,0,30
1439,1439,31,black,38/21409938_1983-05-06_2014.jpg,female,gabourey sidibe,21409938_1983-05-06_2014_0.jpg,no-smile,"{'x': 147, 'y': 123, 'w': 219, 'h': 219}",38,"[147, 123, 366, 342]",,0,30
519,519,24,black,35/24189535_1986-02-15_2010.jpg,female,amber riley,24189535_1986-02-15_2010_0.jpg,smile,"{'x': 115, 'y': 92, 'w': 204, 'h': 204}",35,"[115, 92, 319, 296]",,0,30
1299,1299,37,black,92/36807692_1978-02-14_2015.jpg,female,danai gurira,36807692_1978-02-14_2015_0.jpg,no-smile,"{'x': 105, 'y': 105, 'w': 235, 'h': 235}",92,"[105, 105, 340, 340]",,0,30
89,89,43,white,93/nm0000093_rm27564800_1963-12-18_2007.jpg,male,brad pitt,nm0000093_rm27564800_1963-12-18_2007_0.jpg,no-smile,"{'x': 54, 'y': 90, 'w': 161, 'h': 161}",93,"[54, 90, 215, 251]",,1,42
94,94,37,white,93/nm0000093_rm73636608_1963-12-18_2001.jpg,male,brad pitt,nm0000093_rm73636608_1963-12-18_2001_0.jpg,smile,"{'x': 39, 'y': 117, 'w': 174, 'h': 174}",93,"[39, 117, 213, 291]",,1,42
96,96,41,white,93/nm0000093_rm75601920_1963-12-18_2005.jpg,male,brad pitt,nm0000093_rm75601920_1963-12-18_2005_0.jpg,no-smile,"{'x': 73, 'y': 52, 'w': 93, 'h': 93}",93,"[73, 52, 166, 145]",,1,42
97,97,37,white,93/nm0000093_rm90413824_1963-12-18_2001.jpg,male,brad pitt,nm0000093_rm90413824_1963-12-18_2001_0.jpg,smile,"{'x': 55, 'y': 128, 'w': 164, 'h': 164}",93,"[55, 128, 219, 292]",,1,42
82,82,44,white,93/nm0000093_rm114143232_1963-12-18_2008.jpg,male,brad pitt,nm0000093_rm114143232_1963-12-18_2008_0.jpg,no-smile,"{'x': 1574, 'y': 215, 'w': 145, 'h': 145}",93,"[1574, 215, 1719, 360]",,1,43
83,83,44,white,93/nm0000093_rm122000384_1963-12-18_2008.jpg,male,brad pitt,nm0000093_rm122000384_1963-12-18_2008_0.jpg,no-smile,"{'x': 45, 'y': 52, 'w': 66, 'h': 66}",93,"[45, 52, 111, 118]",,1,43
84,84,41,white,93/nm0000093_rm125933568_1963-12-18_2005.jpg,male,brad pitt,nm0000093_rm125933568_1963-12-18_2005_0.jpg,no-smile,"{'x': 77, 'y': 77, 'w': 137, 'h': 137}",93,"[77, 77, 214, 214]",,1,43
85,85,43,white,93/nm0000093_rm149265152_1963-12-18_2007.jpg,male,brad pitt,nm0000093_rm149265152_1963-12-18_2007_0.jpg,no-smile,"{'x': 65, 'y': 90, 'w': 115, 'h': 115}",93,"[65, 90, 180, 205]",,1,43
90,90,30,white,93/nm0000093_rm385539328_1963-12-18_1994.jpg,male,brad pitt,nm0000093_rm385539328_1963-12-18_1994_0.jpg,smile,"{'x': 961, 'y': 529, 'w': 167, 'h': 167}",93,"[961, 529, 1128, 696]",,1,43
